tSNE1,tSNE2,Split,Folder
-22.976755,5.127512,Total,1PBR_benzodiazolyl_methyl_sulfanylmethanimidamide
-21.997843,4.4864006,Total,1PBR_biphenyl_derivative
-12.353821,-6.039424,Total,1PBR_dihydroquinoline-3-carboxamide_derivative
-20.321995,0.2657917,Total,1PBR_dimethylamino_quinolinyl_pyridinyl_acetamide
-17.348053,3.2966404,Total,1PBR_methylpyridine_der_1
-17.460669,3.0875585,Total,1PBR_methylpyridine_der_2
-17.398434,2.4080732,Strat,1PBR_methylpyridine_der_3
-16.494951,3.5749457,Total,1PBR_methylpyridine_der_4
-15.699,3.0784478,Strat,1PBR_methylpyridine_der_5
-17.031837,3.6564636,Total,1PBR_methylpyridine_der_6
-16.814543,2.815248,Total,1PBR_methylpyridine_der_7
28.027184,-17.209522,Total,"1PBR_pyran-3,4-diol_derivative"
11.543939,-12.669485,Total,1PBR_tetraene_mol
-17.029,-34.71247,Total,1PQQ
-2.2394106,-18.638329,Total,1Q8N
29.057816,-11.446408,Total,1QD3
27.342524,-14.90851,Total,1QD3_Neomycin_B
26.891033,-14.361767,Total,1QD3_Streptomycin
24.341373,-13.409841,Total,1QD3_gentamicin_mol
6.8104386,-27.34432,Total,1QMS
-36.811115,-18.316362,Total,1QV4
-34.604954,-18.305391,Total,1QV4_Hoechst_33258
-34.921936,-19.007448,Total,1QV4_Hoechst_33342
-36.92916,-18.35874,Total,1QV8
6.6634016,-14.044274,Total,1R4E
21.739876,4.199495,Total,1RAW
27.89153,-9.923981,Total,1TOB
1.091822,-25.09264,Total,1UTS
0.39421222,-20.809809,Total,1UUD
0.38630342,-20.940443,Total,1UUI
-28.255646,5.3713813,Total,1UUI_10-(3-(dimethylamino)propyl)-10H-phenothiazin-4-ol
-32.168354,5.3530073,Total,1UUI_2-chloro-10-[2-(2-methylpyrrolidin-1-yl)ethyl]_phenothiazine_der
-32.224728,5.2699614,Total,1UUI_2-chloro-10-methylpyrrolidin_phenothiazine_der
